0;Tagliatelles fraîches aux épinards;pate;Semoule de blé dur non-blanchie, semoule durum, épinards frais, oeufs frais.;4.50;350;tagliatelle.jpg
0;Gnocchi di patate duri frais;pate;Farine enrichie, fécule de pomme de terre, pommes de terre, sel.;5.25;500;gnocchi.jpg
0;Feuilles de lasagne fraîches (12);pate;Semoule de blé dur non blanchie, oeufs.;4.75;360;lasagne.jpg
0;Pesto génois;sauce;Huile d'olive extra vierge pressée à froid, huile de tournesol, basilic, jus de citron, fromage parmesan (lait), persil frais, ail frais, noix de Grenoble, sel de mer, noix de pin, poivre noir. ;8.00;180;pesto.jpg
0;Sauce rosée;sauce;Tomates en conserve (tomates cueillies à la main à maturité, sel, acide citrique de source naturelle), crème, oignons, parmesan, ail, huile de canola, beurre, fines herbes, fécule de maïs, sel, poivre.;5.25;400;rose.jpg
0;Sauce tomate à l'ail et au basilic;sauce;Tomates en conserve (tomates cueillies à la main à maturité, sel, acide citrique de source naturelle), oignons, ail, huile de canola, fines herbes, sel, poivre.;5.50;400;tomate.jpg
0;Parmesan;fromage;Lait pasteurisé, crème, protéines de lait concentré, sel, culture bactérienne, chlorure de calcium, lipase, enzyme microbienne. M.G. : 28 %. Humidité : 32 %.;7.00;200;parmesan.jpg
0;Fromage de chèvre à tartiner;fromage;Lait de chèvre, culture bactérienne, sel, présure, ciboulette.;7.25;175;chevre.jpg
0;Cheddar doux;fromage;Lait pasteurisé, concentré protéique de lait, crème, sel, chlorure de calcium, culture bactérienne, enzyme microbienne. M.G. : 31 %. Humidité : 39 %.;10.75;400;cheddar.jpg
0;Lasagne italienne (pour 2);pret-a-manger;Boeuf et porc haché, saucisses italiennes (porc, chapelure de blé, sel, épices, substances laitières, sucre, acide ascorbique, ail), pâtes alimentaires (semoule de blé, oeufs entiers, eau), tomates, poivrons, oignons, céleri, huile végétale,  mozzarella (lait partiellement écrémé, culture bactérienne, enzymes microbiennes, chlorure de calcium, cellulose), ail, champignons, jalapenos, épices.;15.00;900;lasagne_pam.jpg
0;Linguine sauce tomate et basilic;pret-a-manger;Linguine (semoule de blé dur, niacine, sulfate ferreux, acide folique), sauce tomate (tomates biologiques, eau, sucre, amidon de maïs modifié, ail déshydraté, acide citrique), basilic frais haché, huile d'olive, sel, poivre.;7.75;250;linguine_pam.jpg
0;Macaroni au fromage;pret-a-manger;Pâtes alimentaires (semoule de blé dur, eau), parmesan (lait pasteurisé, crème, sel, enzyme microbienne, culture bactérienne), fromage Fontina (lait pasteurisé, sel, culture bactérienne, enzyme microbienne, chlorure de calcium), cheddar (chlorure de calcium, rocou (colorant)), tomates, oignons, huile d'olive, ail.;7.25;365;macaroni_pam.jpg
